Month,Short-term Visitors arriving - Under 1 week,Short-term Visitors arriving - Over 1 and under 2 weeks,Short-term Visitors arriving - Over 2 weeks and under 1 month,Short-term Visitors arriving - Over 1 and under 2 months,Short-term Visitors arriving - Over 2 and under 3 months,Short-term Visitors arriving - Over 3 and under 6 months,Short-term Visitors arriving - Over 6 and under 12 months,Short-term Visitors arriving - Total,Short-term Visitors arriving - Convention/conference,Short-term Visitors arriving - Business,Short-term Visitors arriving - Visiting friends/relatives,Short-term Visitors arriving - Holiday,Short-term Visitors arriving - Employment,Short-term Visitors arriving - Education,Short-term Visitors arriving - Other & not stated,Short-term Visitors arriving - Total
Dec-95,103850,128120,93680,57600,13800,15600,9620,422260,3070,22150,113190,261780,1540,3500,17030,422260
Jan-96,97510,87860,51350,29700,12180,15850,22760,317210,4290,27180,57800,187330,2650,19590,18360,317210
Feb-96,114170,132950,63340,33610,9930,13970,24700,392690,8080,31860,61550,247960,1970,24090,17170,392690
Mar-96,108380,122620,68910,32370,8720,11300,13250,365550,9210,37530,68070,223120,1990,9060,16570,365550
Apr-96,105690,114760,56800,25130,9060,10280,11490,333200,13040,31980,63930,196700,2150,9330,16060,333200
May-96,101920,81600,40150,16890,4910,8230,7830,261510,7800,32050,44550,157600,1360,4650,13510,261510
Jun-96,99960,97710,55920,24530,10070,9940,8810,306930,9250,32170,56500,182720,1790,7190,17320,306930
Jul-96,102610,99120,73790,36970,9320,15200,21220,358230,10340,32350,59230,207880,2250,25930,20250,358230
Aug-96,110210,108860,62830,23100,5800,8800,9650,329240,9130,32400,52810,208880,1690,6470,17850,329240
Sep-96,96940,99220,57140,24910,7890,12230,10830,309160,12330,32340,57660,182390,1720,6710,16010,309160
Oct-96,105910,112920,62460,30710,10300,13920,14150,350360,12480,38010,64920,205690,2250,8870,18140,350360
Nov-96,114090,117970,63720,34020,13790,18580,13400,375570,12830,39680,74310,225030,2060,4850,16800,375570
Dec-96,116780,137990,103030,67070,14140,16610,9550,465180,4110,24400,119920,293080,1800,4310,17570,465180
Jan-97,102300,89900,59640,33710,13720,17730,25890,342890,5450,28670,62700,199230,3210,23070,20560,342890
Feb-97,122090,134540,63340,35410,9870,13950,28770,407960,6290,38430,61900,253580,1850,26850,19060,407960
Mar-97,123840,123620,74450,32020,10180,13290,13500,390900,10300,37810,74470,236490,2310,10140,19380,390900
Apr-97,118380,99560,52980,23250,8630,11080,12010,325900,8720,38020,60160,187490,2100,9650,19760,325900
May-97,118260,89420,42400,16170,5680,8570,8590,289100,9580,38230,45690,169950,1710,5110,18820,289100
Jun-97,103910,93250,55490,25920,9640,10800,9160,308180,13790,33830,55150,176850,2640,8000,17920,308180
Jul-97,117060,108340,79920,40530,10780,16960,23760,397360,11590,36300,65250,227840,2430,29450,24500,397360
Aug-97,109860,106610,63570,21940,6760,10400,11300,330430,7950,36720,53830,202510,2470,7550,19400,330430
Sep-97,109570,101290,59650,25260,7720,13460,13990,330940,11220,37150,62490,189070,2390,6680,21940,330940
Oct-97,113350,114750,64690,30880,11250,15640,15920,366480,11720,39420,69320,211970,2500,9220,22330,366480
Nov-97,123120,114450,64870,32120,12830,17920,14130,379460,12530,43320,74340,220320,2850,4230,21870,379460
